year,tree,modalidad,area,carrera,campus,codigo,url,index_page
2021,licenciatura,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10100035.html,15.html
2021,licenciatura,escolarizado,1,ACTUARIA,FES ACATLAN,10102005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10102005.html,15.html
2021,licenciatura,escolarizado,1,ARQUITECTURA,FACULTAD DE ARQUITECTURA,10200015,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10200015.html,15.html
2021,licenciatura,escolarizado,1,ARQUITECTURA,FES ACATLAN,10202005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10202005.html,15.html
2021,licenciatura,escolarizado,1,ARQUITECTURA,FES ARAGON,10204005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10204005.html,15.html
2021,licenciatura,escolarizado,1,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,10300015,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10300015.html,15.html
2021,licenciatura,escolarizado,1,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13307005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13307005.html,15.html
2021,licenciatura,escolarizado,1,CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,10400035,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10400035.html,15.html
2021,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,12700175,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/12700175.html,15.html
2021,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,12710005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/12710005.html,15.html
2021,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,12708005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/12708005.html,15.html
2021,licenciatura,escolarizado,1,DISEÑO INDUSTRIAL,FES ARAGON,10504005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10504005.html,15.html
2021,licenciatura,escolarizado,1,FISICA,FACULTAD DE CIENCIAS,10600035,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10600035.html,15.html
2021,licenciatura,escolarizado,1,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,13400035,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13400035.html,15.html
2021,licenciatura,escolarizado,1,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13107005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13107005.html,15.html
2021,licenciatura,escolarizado,1,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLAN,13001005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13001005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA AEROESPACIAL,FACULTAD DE INGENIERIA,13900115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13900115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA AMBIENTAL,FACULTAD DE INGENIERIA,13700115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13700115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA CIVIL,FACULTAD DE INGENIERIA,10700115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10700115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA CIVIL,FES ACATLAN,10702005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10702005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA CIVIL,FES ARAGON,10704005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10704005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERIA,10800115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10800115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA ELECTRICA ELECTRONICA,FACULTAD DE INGENIERIA,10900115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10900115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA ELECTRICA ELECTRONICA,FES ARAGON,10904005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/10904005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA EN COMPUTACION,FACULTAD DE INGENIERIA,11000115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11000115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA EN COMPUTACION,FES ARAGON,11004005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11004005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA GEOFISICA,FACULTAD DE INGENIERIA,11200115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11200115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA GEOLOGICA,FACULTAD DE INGENIERIA,11300115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11300115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA GEOMATICA,FACULTAD DE INGENIERIA,12000115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/12000115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERIA,11400115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11400115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA INDUSTRIAL,FES ARAGON,11404005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11404005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA INDUSTRIAL,FES CUAUTITLAN,11401005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11401005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA MECANICA,FACULTAD DE INGENIERIA,11500115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11500115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA MECANICA,FES ARAGON,11504005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11504005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA MECANICA ELECTRICA,FES CUAUTITLAN,11601005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11601005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA PETROLERA,FACULTAD DE INGENIERIA,11700115,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11700115.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA,FACULTAD DE QUIMICA,11800055,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11800055.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA,FES CUAUTITLAN,11801005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11801005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA,FES ZARAGOZA,11805005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11805005.html,15.html
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUIMICA,11900055,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/11900055.html,15.html
2021,licenciatura,escolarizado,1,MATEMATICAS,FACULTAD DE CIENCIAS,12200035,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/12200035.html,15.html
2021,licenciatura,escolarizado,1,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,13600035,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13600035.html,15.html
2021,licenciatura,escolarizado,1,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLAN,12102005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/12102005.html,15.html
2021,licenciatura,escolarizado,1,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13207005,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/13207005.html,15.html
2021,licenciatura,escolarizado,1,URBANISMO,FACULTAD DE ARQUITECTURA,12300015,https://www.dgae.unam.mx/Licenciatura2021/resultados/1/12300015.html,15.html
2021,licenciatura,escolarizado,2,BIOLOGIA,FACULTAD DE CIENCIAS,20100035,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20100035.html,25.html
2021,licenciatura,escolarizado,2,BIOLOGIA,FES IZTACALA,20103005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20103005.html,25.html
2021,licenciatura,escolarizado,2,BIOLOGIA,FES ZARAGOZA,20105005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20105005.html,25.html
2021,licenciatura,escolarizado,2,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLAN,21801005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21801005.html,25.html
2021,licenciatura,escolarizado,2,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,23007005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/23007005.html,25.html
2021,licenciatura,escolarizado,2,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,21608005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21608005.html,25.html
2021,licenciatura,escolarizado,2,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,21607005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21607005.html,25.html
2021,licenciatura,escolarizado,2,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGIA,20200145,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20200145.html,25.html
2021,licenciatura,escolarizado,2,CIRUJANO DENTISTA,FES IZTACALA,20203005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20203005.html,25.html
2021,licenciatura,escolarizado,2,CIRUJANO DENTISTA,FES ZARAGOZA,20205005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20205005.html,25.html
2021,licenciatura,escolarizado,2,ENFERMERIA,ESCUELA NACIONAL DE ENFERMERIA Y OBSTETRICIA,22000095,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/22000095.html,25.html
2021,licenciatura,escolarizado,2,ENFERMERIA,FES IZTACALA,22003005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/22003005.html,25.html
2021,licenciatura,escolarizado,2,ENFERMERIA,FES ZARAGOZA,22005005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/22005005.html,25.html
2021,licenciatura,escolarizado,2,ENFERMERIA Y OBSTETRICIA,ESCUELA NACIONAL DE ENFERMERIA Y OBSTETRICIA,20300095,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20300095.html,25.html
2021,licenciatura,escolarizado,2,FARMACIA,FES CUAUTITLAN,21901005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21901005.html,25.html
2021,licenciatura,escolarizado,2,FISIOTERAPIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,22106005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/22106005.html,25.html
2021,licenciatura,escolarizado,2,INGENIERIA AGRICOLA,FES CUAUTITLAN,20401005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20401005.html,25.html
2021,licenciatura,escolarizado,2,INGENIERIA EN ALIMENTOS,FES CUAUTITLAN,20501005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20501005.html,25.html
2021,licenciatura,escolarizado,2,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,21708005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21708005.html,25.html
2021,licenciatura,escolarizado,2,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,20700165,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20700165.html,25.html
2021,licenciatura,escolarizado,2,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLAN,20701005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20701005.html,25.html
2021,licenciatura,escolarizado,2,MEDICO CIRUJANO,FACULTAD DE MEDICINA,20800125,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20800125.html,25.html
2021,licenciatura,escolarizado,2,MEDICO CIRUJANO,FES IZTACALA,20803005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20803005.html,25.html
2021,licenciatura,escolarizado,2,MEDICO CIRUJANO,FES ZARAGOZA,20805005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20805005.html,25.html
2021,licenciatura,escolarizado,2,NUTRIOLOGIA,FES ZARAGOZA,22705005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/22705005.html,25.html
2021,licenciatura,escolarizado,2,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,22206005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/22206005.html,25.html
2021,licenciatura,escolarizado,2,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,20906005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20906005.html,25.html
2021,licenciatura,escolarizado,2,OPTOMETRIA,FES IZTACALA,20903005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/20903005.html,25.html
2021,licenciatura,escolarizado,2,PSICOLOGIA,FACULTAD DE PSICOLOGIA,21000195,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21000195.html,25.html
2021,licenciatura,abierta,2,PSICOLOGIA,FACULTAD DE PSICOLOGIA,21000196,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21000196.html,26.html
2021,licenciatura,escolarizado,2,PSICOLOGIA,FES IZTACALA,21003005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21003005.html,25.html
2021,licenciatura,escolarizado,2,PSICOLOGIA,FES ZARAGOZA,21005005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21005005.html,25.html
2021,licenciatura,escolarizado,2,QUIMICA,FACULTAD DE QUIMICA,21100055,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21100055.html,25.html
2021,licenciatura,escolarizado,2,QUIMICA,FES CUAUTITLAN,21101005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21101005.html,25.html
2021,licenciatura,escolarizado,2,QUIMICA DE ALIMENTOS,FACULTAD DE QUIMICA,21200055,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21200055.html,25.html
2021,licenciatura,escolarizado,2,QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUIMICA,21300055,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21300055.html,25.html
2021,licenciatura,escolarizado,2,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,21305005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21305005.html,25.html
2021,licenciatura,escolarizado,2,QUIMICA INDUSTRIAL,FES CUAUTITLAN,21401005,https://www.dgae.unam.mx/Licenciatura2021/resultados/2/21401005.html,25.html
2021,licenciatura,escolarizado,3,ADMINISTRACION,FACULTAD DE CONTADURIA Y ADMINISTRACION,30100065,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30100065.html,35.html
2021,licenciatura,abierta,3,ADMINISTRACION,FACULTAD DE CONTADURIA Y ADMINISTRACION,30100066,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30100066.html,36.html
2021,licenciatura,escolarizado,3,ADMINISTRACION,FES CUAUTITLAN,30101005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30101005.html,35.html
2021,licenciatura,escolarizado,3,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,31406005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31406005.html,35.html
2021,licenciatura,escolarizado,3,ANTROPOLOGIA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,31900045,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31900045.html,35.html
2021,licenciatura,escolarizado,3,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,30200045,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30200045.html,35.html
2021,licenciatura,abierta,3,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,30200046,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30200046.html,36.html
2021,licenciatura,escolarizado,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,30300045,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30300045.html,35.html
