year,tree,modalidad,area,carrera,campus,codigo,oferta,aspirantes,presentaron_examen,aciertos_minimos,seleccionados
2021,licenciatura,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,56,1186,963,107,58
2021,licenciatura,escolarizado,1,ACTUARIA,FES ACATLÁN,10102005,51,588,508,98,53
2021,licenciatura,escolarizado,1,ARQUITECTURA,FACULTAD DE ARQUITECTURA,10200015,250,4657,3986,91,270
2021,licenciatura,escolarizado,1,ARQUITECTURA,FES ACATLÁN,10202005,86,1468,1278,78,86
2021,licenciatura,escolarizado,1,ARQUITECTURA,FES ARAGÓN,10204005,95,1969,1723,78,97
2021,licenciatura,escolarizado,1,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,10300015,25,308,256,86,26
2021,licenciatura,escolarizado,1,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13307005,44,61,43,41,39
2021,licenciatura,escolarizado,1,CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,10400035,40,867,705,104,40
2021,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,12700175,30,197,159,91,30
2021,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,12710005,26,99,75,80,29
2021,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,12708005,27,34,30,41,27
2021,licenciatura,escolarizado,1,DISEÑO INDUSTRIAL,FES ARAGÓN,10504005,23,711,605,86,26
2021,licenciatura,escolarizado,1,FISICA,FACULTAD DE CIENCIAS,10600035,80,1561,1227,110,88
2021,licenciatura,escolarizado,1,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,13400035,13,340,255,101,13
2021,licenciatura,escolarizado,1,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13107005,24,38,35,51,26
2021,licenciatura,escolarizado,1,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,13001005,90,881,730,66,92
2021,licenciatura,escolarizado,1,INGENIERIA AEROESPACIAL,FACULTAD DE INGENIERÍA,13900115,13,1513,1221,114,14
2021,licenciatura,escolarizado,1,INGENIERIA AMBIENTAL,FACULTAD DE INGENIERÍA,13700115,19,411,341,96,21
2021,licenciatura,escolarizado,1,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,10700115,130,1240,1029,85,135
2021,licenciatura,escolarizado,1,INGENIERIA CIVIL,FES ACATLÁN,10702005,104,788,675,68,106
2021,licenciatura,escolarizado,1,INGENIERIA CIVIL,FES ARAGÓN,10704005,150,965,849,63,152
2021,licenciatura,escolarizado,1,INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERÍA,10800115,24,255,221,85,24
2021,licenciatura,escolarizado,1,INGENIERIA ELECTRICA ELECTRONICA,FACULTAD DE INGENIERÍA,10900115,115,1144,956,91,122
2021,licenciatura,escolarizado,1,INGENIERIA ELECTRICA ELECTRONICA,FES ARAGÓN,10904005,63,427,367,69,63
2021,licenciatura,escolarizado,1,INGENIERIA EN COMPUTACION,FACULTAD DE INGENIERÍA,11000115,120,2639,2245,94,125
2021,licenciatura,escolarizado,1,INGENIERIA EN COMPUTACION,FES ARAGÓN,11004005,82,1600,1383,80,83
2021,licenciatura,escolarizado,1,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,11200115,22,119,95,68,40
2021,licenciatura,escolarizado,1,INGENIERIA GEOLOGICA,FACULTAD DE INGENIERÍA,11300115,30,149,128,70,38
2021,licenciatura,escolarizado,1,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,12000115,26,60,45,49,33
2021,licenciatura,escolarizado,1,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,11400115,71,1060,850,93,72
2021,licenciatura,escolarizado,1,INGENIERIA INDUSTRIAL,FES ARAGÓN,11404005,50,683,589,75,51
2021,licenciatura,escolarizado,1,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,11401005,41,590,495,74,46
2021,licenciatura,escolarizado,1,INGENIERIA MECANICA,FACULTAD DE INGENIERÍA,11500115,64,1428,1180,95,66
2021,licenciatura,escolarizado,1,INGENIERIA MECANICA,FES ARAGÓN,11504005,39,803,687,80,40
2021,licenciatura,escolarizado,1,INGENIERIA MECANICA ELECTRICA,FES CUAUTITLÁN,11601005,106,643,540,65,109
2021,licenciatura,escolarizado,1,INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,11700115,62,482,396,72,64
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA,FACULTAD DE QUÍMICA,11800055,50,901,739,105,53
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA,FES CUAUTITLÁN,11801005,66,548,481,74,70
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA,FES ZARAGOZA,11805005,98,579,522,75,105
2021,licenciatura,escolarizado,1,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,11900055,28,140,120,86,28
2021,licenciatura,escolarizado,1,MATEMATICAS,FACULTAD DE CIENCIAS,12200035,121,546,435,96,122
2021,licenciatura,escolarizado,1,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,13600035,33,252,192,96,34
2021,licenciatura,escolarizado,1,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,12102005,260,492,421,50,300
2021,licenciatura,escolarizado,1,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13207005,41,41,30,47,27
2021,licenciatura,escolarizado,1,URBANISMO,FACULTAD DE ARQUITECTURA,12300015,25,128,107,79,25
2021,licenciatura,escolarizado,2,BIOLOGIA,FACULTAD DE CIENCIAS,20100035,130,1550,1273,95,136
2021,licenciatura,escolarizado,2,BIOLOGIA,FES IZTACALA,20103005,110,856,749,83,111
2021,licenciatura,escolarizado,2,BIOLOGIA,FES ZARAGOZA,20105005,120,884,771,74,125
2021,licenciatura,escolarizado,2,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,21801005,25,721,603,99,26
2021,licenciatura,escolarizado,2,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,23007005,30,36,27,43,27
2021,licenciatura,escolarizado,2,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,21607005,107,119,99,41,89
2021,licenciatura,escolarizado,2,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,21608005,46,122,100,70,47
2021,licenciatura,escolarizado,2,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,20200145,115,2123,1765,90,120
2021,licenciatura,escolarizado,2,CIRUJANO DENTISTA,FES IZTACALA,20203005,130,2285,1999,82,130
2021,licenciatura,escolarizado,2,CIRUJANO DENTISTA,FES ZARAGOZA,20205005,125,1770,1566,78,131
2021,licenciatura,escolarizado,2,ENFERMERIA,ESCUELA NACIONAL DE ENFERMERÍA Y OBSTETRICIA,22000095,130,1632,1373,77,134
2021,licenciatura,escolarizado,2,ENFERMERIA,FES IZTACALA,22003005,130,2143,1801,73,145
2021,licenciatura,escolarizado,2,ENFERMERIA,FES ZARAGOZA,22005005,175,3006,2559,77,179
2021,licenciatura,escolarizado,2,ENFERMERIA Y OBSTETRICIA,ESCUELA NACIONAL DE ENFERMERÍA Y OBSTETRICIA,20300095,75,2534,2115,86,75
2021,licenciatura,escolarizado,2,FARMACIA,FES CUAUTITLÁN,21901005,73,501,431,77,77
2021,licenciatura,escolarizado,2,FISIOTERAPIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,22106005,63,637,511,69,67
2021,licenciatura,escolarizado,2,INGENIERIA AGRICOLA,FES CUAUTITLÁN,20401005,69,327,245,65,73
2021,licenciatura,escolarizado,2,INGENIERIA EN ALIMENTOS,FES CUAUTITLÁN,20501005,121,559,483,64,122
2021,licenciatura,escolarizado,2,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,21708005,46,67,55,46,46
2021,licenciatura,escolarizado,2,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,20700165,85,3584,3033,99,87
2021,licenciatura,escolarizado,2,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,20701005,99,2114,1805,86,100
2021,licenciatura,escolarizado,2,MEDICO CIRUJANO,FACULTAD DE MEDICINA,20800125,176,15296,12399,111,206
2021,licenciatura,escolarizado,2,MEDICO CIRUJANO,FES IZTACALA,20803005,100,5163,4401,105,111
2021,licenciatura,escolarizado,2,MEDICO CIRUJANO,FES ZARAGOZA,20805005,50,4165,3602,106,50
2021,licenciatura,escolarizado,2,NUTRIOLOGIA,FES ZARAGOZA,22705005,28,2125,1750,100,28
2021,licenciatura,escolarizado,2,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,22206005,75,810,645,75,79
2021,licenciatura,escolarizado,2,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,20906005,39,72,54,41,40
2021,licenciatura,escolarizado,2,OPTOMETRIA,FES IZTACALA,20903005,47,472,411,73,48
2021,licenciatura,escolarizado,2,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,21000195,80,3920,3275,99,81
2021,licenciatura,abierta,2,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,21000196,177,1246,866,71,186
2021,licenciatura,escolarizado,2,PSICOLOGIA,FES IZTACALA,21003005,112,2244,1903,80,123
2021,licenciatura,escolarizado,2,PSICOLOGIA,FES ZARAGOZA,21005005,115,2641,2304,81,119
2021,licenciatura,escolarizado,2,QUIMICA,FACULTAD DE QUÍMICA,21100055,30,614,526,105,33
2021,licenciatura,escolarizado,2,QUIMICA,FES CUAUTITLÁN,21101005,38,218,184,75,40
2021,licenciatura,escolarizado,2,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,21200055,45,595,501,94,46
2021,licenciatura,escolarizado,2,QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUÍMICA,21300055,58,2461,2085,106,63
2021,licenciatura,escolarizado,2,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,21305005,55,1572,1396,98,56
2021,licenciatura,escolarizado,2,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,21401005,60,417,376,74,60
2021,licenciatura,escolarizado,3,ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,30100065,390,7331,6221,87,421
2021,licenciatura,abierta,3,ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,30100066,80,836,588,75,84
2021,licenciatura,escolarizado,3,ADMINISTRACION,FES CUAUTITLÁN,30101005,240,2132,1795,68,245
2021,licenciatura,escolarizado,3,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,31406005,59,44,32,42,23
2021,licenciatura,escolarizado,3,ANTROPOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,31900045,100,367,302,72,104
2021,licenciatura,escolarizado,3,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30200045,77,1975,1692,94,77
2021,licenciatura,abierta,3,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30200046,92,258,202,55,117
2021,licenciatura,escolarizado,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30300045,65,735,606,89,67
2021,licenciatura,abierta,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30300046,92,225,157,50,111
2021,licenciatura,escolarizado,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,30302005,70,432,372,73,72
